title,link,score
Apache ECharts (apache.org),https://echarts.apache.org/en/index.html,1062 points
PostgreSQL Full-Text Search: Fast When Done Right (Debunking the Slow Myth) (vectorchord.ai),https://blog.vectorchord.ai/postgresql-full-text-search-fast-when-done-right-debunking-the-slow-myth,177 points
Obituary for Cyc (yuxi-liu-wired.github.io),https://yuxi-liu-wired.github.io/essays/posts/cyc/,271 points
Dockerfmt: A Dockerfile Formatter (github.com/reteps),https://github.com/reteps/dockerfmt,60 points
Linux Kernel Defence Map – Security Hardening Concepts (github.com/a13xp0p0v),https://github.com/a13xp0p0v/linux-kernel-defence-map,46 points
Show HN: DrawDB – open-source online database diagram editor (a retro) (drawdb.app),https://www.drawdb.app/,84 points
The order of files in your ext4 filesystem does not matter (thewisenerd.com),https://thewisenerd.com/blog/ext4-readdir/,28 points
DIY experimental reactor harnesses the Birkeland-Eyde process (arduino.cc),https://blog.arduino.cc/2025/03/17/this-diy-experimental-reactor-harnesses-the-birkeland-eyde-process/,24 points
Brazil's government-run payments system has become dominant (economist.com),https://www.economist.com/the-americas/2025/04/03/brazils-government-run-payments-system-has-become-dominant,504 points
Tailscale has raised $160M (tailscale.com),https://tailscale.com/blog/series-c,495 points
The Barium Experiment (sig7.se),https://tomscii.sig7.se/2025/04/The-Barium-Experiment,25 points
A new way to make graphs more accessible to blind and low-vision readers (news.mit.edu),https://news.mit.edu/2025/making-graphs-more-accessible-blind-low-vision-readers-0325,8 points
How Netflix Accurately Attributes eBPF Flow Logs (netflixtechblog.com),https://netflixtechblog.com/how-netflix-accurately-attributes-ebpf-flow-logs-afe6d644a3bc,131 points
No elephants: Breakthroughs in image generation (oneusefulthing.org),https://www.oneusefulthing.org/p/no-elephants-breakthroughs-in-image,394 points
Decomposing factorial of 300K as the product of 300K factors larger than 100K (gus-massa.blogspot.com),http://gus-massa.blogspot.com/2025/04/decomposing-factorial-of-300k-as.html,77 points
How to Recognize Woodpeckers by Their Drumming Sounds (allaboutbirds.org),https://www.allaboutbirds.org/news/how-to-recognize-woodpeckers-by-their-drumming-sounds/,86 points
Solving a “Layton Puzzle” with Prolog (buttondown.com/hillelwayne),https://buttondown.com/hillelwayne/archive/a48fce5b-8a05-4302-b620-9b26f057f145/,72 points
Better typography with text-wrap pretty (webkit.org),https://webkit.org/blog/16547/better-typography-with-text-wrap-pretty/,226 points
Analytic Combinatorics – A Worked Example (grossack.site),https://grossack.site/2025/04/08/analytic-combinatorics-example.html,82 points
Ask HN: Do you still use search engines?,item?id=43619768,236 points
Thank HN: The puzzle game I posted here 6 weeks ago got licensed by The Atlantic (theatlantic.com),https://www.theatlantic.com/games/bracket-city/,795 points
An Overwhelmingly Negative and Demoralizing Force (aftermath.site),https://aftermath.site/ai-video-game-development-art-vibe-coding-midjourney,314 points
"Show HN: Coroot – eBPF-based, open source observability with actionable insights (github.com/coroot)",https://github.com/coroot/coroot,117 points
Intelligence Evolved at Least Twice in Vertebrate Animals (quantamagazine.org),https://www.quantamagazine.org/intelligence-evolved-at-least-twice-in-vertebrate-animals-20250407/,207 points
The Decline of the U.S. Machine-Tool Industry and Prospects for Recovery (1994) (rand.org),https://www.rand.org/pubs/research_briefs/RB1500.html,170 points
Show HN: Soundscapes and Lofi Player (noisefill.com),https://www.noisefill.com/,23 points
Middle-aged man trading cards go viral in rural Japan town (tokyoweekender.com),https://www.tokyoweekender.com/entertainment/middle-aged-man-trading-cards-go-viral-in-japan/,1703 points
The Greatest Motorcycle Photo (life.com),https://www.life.com/arts-entertainment/the-greatest-motorcycle-photo-ever/,124 points
Show HN: HNSW index for vector embeddings in approx 500 LOC (github.com/dicroce),https://github.com/dicroce/hnsw,67 points
NNN: Next-Generation Neural Networks for Marketing Mix Modeling (arxiv.org),https://arxiv.org/abs/2504.06212,10 points
